strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
ILXI797U,lowlow,61.79483551386724,-41.89077540422609,26.42881464722838,838,109,38,71,BTCUSDT,GK031K7K,21.54315366538491
8JQVS0D8,lowlow,66.47929201986766,-34.832645783051255,39.80750979554925,816,124,41,83,BTCUSDT,J4QA7XDP,21.981056232375597
LUB9MX3O,lowlow,62.81105031415386,-37.21751022300238,175.11927443086043,1256,294,105,189,BTCUSDT,Y6LDA4DX,22.432517969340662
MO60SOVQ,lowlow,72.03173170253352,-28.213622076797403,19.07938059690188,755,32,10,22,BTCUSDT,DMT7TNJ0,22.509916157041726
DLIQ556C,lowlow,72.03173170253352,-28.213622076797403,19.07938059690188,755,32,10,22,BTCUSDT,JAHCVKF0,22.509916157041726
XY5EAGU1,lowlow,72.03173170253352,-28.213622076797403,19.07938059690188,755,32,10,22,BTCUSDT,G6STYXKK,22.509916157041726
PUADQMSO,lowlow,72.03173170253352,-28.213622076797403,19.07938059690188,755,32,10,22,BTCUSDT,IMIS2V2K,22.509916157041726
Q8E5TMUO,lowlow,67.7874090188165,-34.82119218187079,119.80362214340386,1096,51,17,34,BTCUSDT,D22ECOQF,22.59580300627217
QUHV15UA,lowlow,67.04114964427725,-35.90663116560198,25.352825560737703,553,70,24,46,BTCUSDT,E94J6MM6,22.98553702089506
BITNSG2M,lowlow,67.04114964427725,-35.90663116560198,25.352825560737703,553,70,24,46,BTCUSDT,FLEM0I9H,22.98553702089506
MXWJIUJX,lowlow,66.64617840011329,-36.62013776804674,17.886537900849728,546,134,47,87,BTCUSDT,AX3UN5US,23.375898394069587
A1X5ROBM,lowlow,62.2850514203806,-43.48482857957126,55.8092237975325,792,90,34,56,BTCUSDT,7KZP8W2B,23.529908314366004
0E9VINYW,lowlow,66.99751200117764,-36.293282341586995,20.52555088338531,566,132,47,85,BTCUSDT,T90LMLJI,23.855174727692038
HAOPO9S4,lowlow,63.462986235621486,-41.02568355750511,99.8565643256492,590,132,50,82,BTCUSDT,IUCCFDEJ,24.03900993773541
BA2SX9KM,lowlow,64.88761388643321,-38.577079937184905,93.86959109823309,570,134,50,84,BTCUSDT,HMGHS1AY,24.211796226281052
VOFBGFSY,lowlow,63.71511418269523,-39.75448616098358,278.2577492421455,990,114,44,70,BTCUSDT,GKPCM23D,24.59179845647886
7GG37K0U,lowlow,71.26179216668734,-29.186961907474462,82.73473025897842,537,74,26,48,BTCUSDT,XHI4XQF1,25.03792697748474
VVSMW5SZ,lowlow,79.28534366140798,-22.128797326245163,37.80301393302194,434,28,9,19,BTCUSDT,8G3K9W9Y,25.484574748309708
VBZQIOVT,lowlow,72.50476065502633,-27.51105782541902,61.81634020708729,540,72,26,46,BTCUSDT,A4TLQB62,26.18227468098173
5B1O9UBQ,lowlow,80.01043672421008,-18.70172043106898,22.905489696634884,604,26,9,17,BTCUSDT,0B29J2A6,27.69592040453426
I9WKOWE1,lowlow,80.01043672421008,-18.70172043106898,22.905489696634884,604,26,9,17,BTCUSDT,P5VRDXVC,27.69592040453426
4OYIUQA1,lowlow,80.01043672421008,-18.70172043106898,22.905489696634884,604,26,9,17,BTCUSDT,GIHOTIXY,27.69592040453426
FMRE0WIJ,lowlow,80.01043672421008,-18.70172043106898,22.905489696634884,604,26,9,17,BTCUSDT,HCUYXMBJ,27.69592040453426
GDGB3KJP,lowlow,87.10414906511723,-10.131496112166314,36.16443553639912,806,32,11,21,BTCUSDT,6CNDF30Q,29.942051241134045
34PZGV5Y,lowlow,87.10414906511723,-10.131496112166314,36.16443553639912,806,32,11,21,BTCUSDT,SE8E0WK7,29.942051241134045
RSXFY9WG,lowlow,87.10414906511723,-10.131496112166314,36.16443553639912,806,32,11,21,BTCUSDT,0P6OCQT0,29.942051241134045
QJ4JCOB2,lowlow,87.10414906511723,-10.131496112166314,36.16443553639912,806,32,11,21,BTCUSDT,Z9U9W4YP,29.942051241134045
BIDYCGHU,lowlow,86.59183817955751,-11.474693282399514,17.010461913298585,669,27,10,17,BTCUSDT,37OILDZN,32.071051177613896
PHK9QMIO,lowlow,86.59183817955751,-11.474693282399514,17.010461913298585,669,27,10,17,BTCUSDT,ZMDC6UB2,32.071051177613896
F8UH668K,lowlow,86.59183817955751,-11.474693282399514,17.010461913298585,669,27,10,17,BTCUSDT,CJOMMC7V,32.071051177613896
J0QA04GX,lowlow,86.59183817955751,-11.474693282399514,17.010461913298585,669,27,10,17,BTCUSDT,0XEPNHG1,32.071051177613896
KGOAO2VI,highhigh,171.01398682768405,63.6491880112112,575.3791114385114,1393,28,13,15,BTCUSDT,JRM9RTY1,79.39935102713902
I3T8IOLO,highhigh,214.00983984080128,101.53758919281233,886.1889544510419,1126,35,13,22,BTCUSDT,4OMDXDJU,79.48936908372619
7A5GP0VJ,highhigh,175.63260702395732,71.5695115731178,392.1633247290231,1590,35,16,19,BTCUSDT,DEPHXFQ6,80.28919178238048
3K2XEMO9,highhigh,156.58079264855158,56.08068215540333,377.8273214735746,1785,39,20,19,BTCUSDT,FMV8A2ZT,80.2978423838726
L1N921YB,highhigh,227.52994836767348,99.85836836032588,430.39929093475877,1408,34,12,22,BTCUSDT,JSC6TCD9,80.30468765917888
OGVXJH5W,highhigh,148.035928168463,48.788659312127365,336.29269085241435,1084,22,12,10,BTCUSDT,1PFLOF8J,80.74686991007071
KWMRLC0T,highhigh,156.1503816967546,54.10609873670208,256.42587887767996,1200,29,15,14,BTCUSDT,2XJ56SOC,80.76743880866617
VWYG5HGG,highhigh,170.11187399472232,62.89896459223715,395.9544757180891,1201,21,10,11,BTCUSDT,V152MTNC,81.00565428320111
7XRXYLN8,highhigh,192.00572783261023,78.15260705018034,252.6627807802481,1256,28,12,16,BTCUSDT,GISPCG5Q,82.28816907111867
2JC6N4S1,highhigh,158.30587657715748,56.73323476971423,396.9844640391955,1171,23,12,11,BTCUSDT,IOJDK1EZ,82.59437038808215
US9WPRM4,highhigh,135.31546139004396,37.99947073906695,267.6672251769476,1240,26,16,10,BTCUSDT,ZI6JI0F9,83.27105316310397
X8K4FBQ8,highhigh,178.23533193533015,70.97389681771193,607.8327567905322,1659,36,17,19,BTCUSDT,11D3PL2D,84.16668452501702
5ABIM1XX,highhigh,178.79320867728714,72.9293772515318,514.2561269474769,2007,42,20,22,BTCUSDT,0X7KPBN8,85.13962317966055
RU2226ON,highhigh,189.4786900438957,78.45037920806004,713.7055122271132,1553,31,14,17,BTCUSDT,T2PKS1M0,85.57102131014645
K5EAKDFF,highhigh,164.81063894858102,60.26456743107332,282.56254766453384,1157,25,13,12,BTCUSDT,V62FDGFA,85.70153225326212
233W6O9W,highhigh,181.07862717779105,72.51711025674403,863.4347033256169,1880,38,18,20,BTCUSDT,601ZOEXY,85.77408655790103
0RJPZJ0L,highhigh,190.8926113726489,79.67639040251505,896.190285491555,1961,42,19,23,BTCUSDT,IHG56EEE,86.35618133524592
XG34AZK3,highhigh,166.18915426610846,61.11117675814611,294.13005443673234,1053,23,12,11,BTCUSDT,ODG9HWYS,86.70738483449136
95YJPDYV,highhigh,210.65957716824067,90.90106339892776,707.4119793848449,1614,34,14,20,BTCUSDT,Y29DOU17,86.74217883398146
VOFBGFSY,highhigh,214.73695127847571,137.2204172293671,404.5036863080502,4276,454,184,270,BTCUSDT,9W9YTB4E,87.0299538221135
ZZTVU5MM,highhigh,212.8713035127493,91.7472001023496,1003.7953226377697,1720,36,15,21,BTCUSDT,WVVFQWAN,88.69637646364555
FTUY4BJD,highhigh,231.09889174165917,101.56391678090337,233.0708378487429,1310,31,12,19,BTCUSDT,C9MQTTSP,89.45763551290032
SJDVAWWG,highhigh,190.87320935892294,79.60089160103503,366.12145696860296,1582,34,16,18,BTCUSDT,VT4PEKKQ,89.8226867571402
7C0QXOBE,highhigh,243.41964859506479,113.12656360678672,2070.624322297386,1832,43,16,27,BTCUSDT,OG56W524,90.5747529656055
B6219DE3,highhigh,196.28260414945643,83.20726483115476,422.3055449640916,2116,45,21,24,BTCUSDT,YRM40IOE,91.59854860307966
KU3MUYS9,highhigh,176.77288540385578,66.61995281979141,169.5760389358583,984,23,12,11,BTCUSDT,7JUW8B43,92.2293315150552
P4YRX47R,highhigh,179.76224556047825,70.16612647548996,340.68465919778623,1242,25,13,12,BTCUSDT,CQHN5EY3,93.47636769144869
99AE38KL,highhigh,274.9338023932867,134.99219781883457,2633.9971326327245,1897,50,17,33,BTCUSDT,KFL8GHL1,93.47749281371749
KAWD2JWP,highhigh,179.8082071062892,67.09865306098618,297.5087723514402,909,21,11,10,BTCUSDT,UAXROROQ,94.18525134138957
UKVMAKTV,highhigh,189.8705067864137,73.5882542065687,468.14840774902984,1172,22,11,11,BTCUSDT,KX69GWLF,94.93525339320685
3R997L2J,highhigh,249.93754560552716,109.62475337721683,332.3504258561668,1535,36,14,22,BTCUSDT,V3XPDK1X,97.19793440214944
8IM56RZB,highhigh,196.62361396854547,78.58926977358246,368.05424734393,1248,24,12,12,BTCUSDT,19EZK6FZ,98.31180698427274
MBUKC1K1,highhigh,172.58309722330694,64.3378569914455,343.0225955844629,1194,28,16,12,BTCUSDT,KVCTDLT2,98.61891269903253
4V82XORE,highhigh,236.61330219864257,110.39447099344817,265.3127226882365,1536,31,13,18,BTCUSDT,BNFVA01C,99.22493318007591
IBZIZZE5,highhigh,232.16026254790935,103.51684808180595,755.4244792954576,2305,48,21,27,BTCUSDT,MFATLNVY,101.57011486471033
2JNTAFGT,highhigh,177.80911061039464,65.92274541471359,291.3623007403804,1085,21,12,9,BTCUSDT,R41PTNVX,101.60520606308265
3X4E2ICC,highhigh,211.35392973541713,91.1069484102132,481.31417099068506,1678,33,16,17,BTCUSDT,XW2NUN7U,102.47463259899013
MPEFLS13,highhigh,220.56638919948043,92.65855597961144,287.28368211081045,1508,30,14,16,BTCUSDT,R383QYLI,102.9309816264242
5VLR9J0T,highhigh,224.20821441327064,96.80901553559119,708.8140938602415,1627,31,15,16,BTCUSDT,VLUNGLB8,108.48784568384063
497O7LFN,highhigh,205.9382992014464,81.26727441266118,361.49149664340405,1156,23,13,10,BTCUSDT,PL2309IV,116.39990824429579
5I4O8A2P,highlow,69.43484908253504,-12.48288181213946,37.66004131432099,2209,175,60,115,BTCUSDT,DHV9CJZC,23.80623397115487
DAWEKVLG,highlow,60.746295890099866,-25.70286567649038,24.2860600060337,3020,186,73,113,BTCUSDT,5LYMZNS6,23.841288171920915
V76HU9LY,highlow,60.746295890099866,-25.70286567649038,24.2860600060337,3020,186,73,113,BTCUSDT,MOQLMPTZ,23.841288171920915
FDVUNXIO,highlow,66.5152252292689,-22.305670397212626,304.11016646366244,2632,216,78,138,BTCUSDT,20EF3ZF2,24.019386888347103
R4GP7HBJ,highlow,66.5152252292689,-22.305670397212626,304.11016646366244,2632,216,78,138,BTCUSDT,INP8YA76,24.019386888347103
A8V8FATS,highlow,68.26075545012954,-12.748336522770195,510.81503980075826,2517,215,76,139,BTCUSDT,737F2D2A,24.129383321906257
SM1Q3G8Z,highlow,68.26075545012954,-12.748336522770195,510.81503980075826,2517,215,76,139,BTCUSDT,2QVBNBNL,24.129383321906257
HLLSOHFY,highlow,65.5290026526812,-14.91083922469645,25.702386765955275,3002,184,68,116,BTCUSDT,RZ5L9IZX,24.217240110773485
GD3M5ICL,highlow,65.5290026526812,-14.91083922469645,25.702386765955275,3002,184,68,116,BTCUSDT,UOPXTILR,24.217240110773485
3F1O1JQI,highlow,63.914339245484605,-7.998707679724128,29.727750126066415,3280,209,80,129,BTCUSDT,ATAHWEO4,24.464818849946262
K7FKYFIF,highlow,63.914339245484605,-7.998707679724128,29.727750126066415,3280,209,80,129,BTCUSDT,D9VVZEL9,24.464818849946262
J06NAPWH,highlow,63.914339245484605,-7.998707679724128,29.727750126066415,3280,209,80,129,BTCUSDT,W1VJFNUI,24.464818849946262
IRKPF5K9,highlow,63.914339245484605,-7.998707679724128,29.727750126066415,3280,209,80,129,BTCUSDT,OBVM6YED,24.464818849946262
