strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
IGRCULDR,lowlow,312.01882550185144,136.90044084179146,242.21539501980183,1508,38,16,22,BTCUSDT,LB04PPMC,226.92278218316468
543XZ56R,lowlow,314.79646232782414,147.4620537771464,508.9893073605455,1416,38,12,26,BTCUSDT,FBU65ZCM,145.2906749205342
81WN2JVN,lowlow,314.90479213154765,140.40595169883161,315.8627688357504,1424,35,13,22,BTCUSDT,72MY590G,186.08010444136906
DWL9DVVM,lowlow,318.2912410434404,144.2496145446855,618.8506872761345,1337,34,14,20,BTCUSDT,365L6PDC,222.80386873040825
YU2AXPNW,lowlow,319.6432670447508,144.0958907268156,564.1006150462538,1621,29,12,17,BTCUSDT,2EFR8B1I,225.6305414433535
P3DPPIXL,lowlow,320.3825271321952,139.0448532566378,559.7577555420481,1653,33,14,19,BTCUSDT,NWX9JZS0,236.0713357816175
X9VMHN5B,lowlow,327.27130504435314,144.09465823415937,252.04647733300794,1510,36,14,22,BTCUSDT,EWOBCU32,208.26355775549746
Q5MNUGY9,lowlow,332.0015828283181,152.3711076297744,569.5128614443539,1362,36,12,24,BTCUSDT,F8S6LVTK,166.00079141415904
S41HICQQ,lowlow,338.3952810756472,156.7402546671737,541.3390875826937,1493,44,16,28,BTCUSDT,Y6GO4TVM,193.36873204322697
GBROIFGR,lowlow,338.76908607345723,149.27260153301822,629.9277135167761,1588,32,15,17,BTCUSDT,ZMYPJ5E8,298.9138994765799
XPR3I973,lowlow,342.8517284188256,152.41451620259014,855.5152602998506,1532,32,13,19,BTCUSDT,5VYSOB5C,234.58276154972276
S1VKG9L8,lowlow,348.81539499914334,148.94517046193957,2024.84132850994,1421,30,13,17,BTCUSDT,SXDWYKIC,266.7411844111096
OZNHTOMO,lowlow,349.9546398037737,154.29112187663824,1444.818282338588,1417,34,14,20,BTCUSDT,SWKBPM2Q,244.9682478626416
IFSUV4OR,lowlow,350.60791282742264,149.87767824510118,129.60984983313904,1424,44,18,26,BTCUSDT,SWZ3GKE0,242.72855503436952
N12UWN0C,lowlow,353.6664047658806,151.69145958093233,170.4748921918887,1529,34,13,21,BTCUSDT,2TBOMTYB,218.9363458074499
ZUJSUF4B,lowlow,368.4905833279992,162.33846411276502,903.2451815412348,1545,32,12,20,BTCUSDT,JA7ZH4X9,221.0943499967995
KSOR9WTG,lowlow,372.1265811944743,162.5219036499064,792.3721562998135,1510,32,13,19,BTCUSDT,QY8HWIW3,254.6129239751666
DDBVBM0E,lowlow,406.328869426981,171.7228065958023,550.2320217050814,1517,31,13,18,BTCUSDT,A0YS10KV,293.45973903059735
IGRAANM3,lowlow,432.1862032861601,177.98344384258317,1377.814819091183,1532,30,13,17,BTCUSDT,R3Z4RCVI,330.4953319247107
G7FO5P7M,highhigh,149.54757169941286,48.78153321843666,117.45753828138749,2163,16,7,9,BTCUSDT,SK05GBNV,116.31477798843223
D7QBTS4D,highhigh,149.54757169941286,48.78153321843667,160.23780957573095,2030,16,7,9,BTCUSDT,YID387X4,116.31477798843223
Z91OKE38,highhigh,149.54757169941286,48.78153321843667,160.23780957573095,2030,16,7,9,BTCUSDT,JO4I74AJ,116.31477798843223
36K2XZWF,highhigh,149.54757169941286,48.78153321843667,160.23780957573095,2030,16,7,9,BTCUSDT,FA8QPFI6,116.31477798843223
ZOYMKG1Q,highhigh,149.82840200908615,53.455073888136496,147.6725256799297,942,17,5,12,BTCUSDT,KMW5O9GU,62.42850083711923
CK7ASGX5,highhigh,150.26055376065273,53.729459710915535,146.92971991868632,945,17,5,12,BTCUSDT,CZTJJZSC,62.60856406693864
MUGS61WC,highhigh,151.01417867581029,116.2920793747353,759.0368593256293,5832,803,293,510,BTCUSDT,FCKN6Q9L,86.75912618041649
EOFVOABR,highhigh,152.65596771688828,66.59623220149942,854.7145764088162,2603,52,17,35,BTCUSDT,IHBBV2GE,74.14718431963145
F1JW6N8V,highhigh,152.98802781583507,66.10651489233605,1362.5274706764608,2571,50,16,34,BTCUSDT,KJA84FK3,71.99436603098121
R0TKTUL0,highhigh,153.89806313548092,73.83873305926726,1690.0830248487273,2506,60,20,40,BTCUSDT,E2MLPRHG,76.94903156774046
799OCFIW,highhigh,154.02945696374263,63.49268548409574,884.842349213967,3916,67,24,43,BTCUSDT,2WY3NC4M,85.96992946813542
95YJPDYV,highhigh,154.39310237670995,62.488195235976654,1348.8359822423474,3319,63,25,38,BTCUSDT,58ZYYTZF,101.5744094583618
FBF8SVAQ,highhigh,154.52470245103407,71.65747364046588,1394.8314741170586,4569,80,26,54,BTCUSDT,ICDZPK0B,74.400782661609
VWSERK9D,highhigh,156.20192915592256,58.95515507790173,557.8124638488738,1196,18,5,13,BTCUSDT,F7UZFFOS,60.077665059970215
5VLR9J0T,highhigh,157.2673543001949,64.94215997411546,1265.9471194574737,3431,57,23,34,BTCUSDT,UEIRJHYY,106.38673967366127
UVI7S0A2,highhigh,158.60601091275933,59.028235242536695,155.24566964329134,943,17,6,11,BTCUSDT,QTAMPRST,86.51236958877782
3X4E2ICC,highhigh,158.6424689564995,66.33800535128444,809.1991195327029,3220,56,22,34,BTCUSDT,623YOUP7,102.65100932479379
LBFM5IMT,highhigh,159.5194315238478,106.64379891861178,1005.519359798136,5744,867,320,546,BTCUSDT,VPZQV7RZ,93.49124191873864
KPSC2EKI,highhigh,159.9585116578049,65.82715289294113,261.7083190099077,1676,33,11,22,BTCUSDT,BUABY05T,79.97925582890245
ICWR4N1Y,highhigh,161.6258953029902,70.14876515091011,309.0697686950693,3356,53,20,33,BTCUSDT,LR74FWN1,97.9550880624183
3R997L2J,highhigh,163.62661961013234,70.52439081967856,465.5840382411476,3371,62,26,36,BTCUSDT,UFMKML85,118.17478082954001
1I1ZOI6N,highhigh,166.87134388733503,74.66485455598931,697.2519000963339,3758,59,20,39,BTCUSDT,WV5KVS7H,85.5750481473513
4V82XORE,highhigh,168.33212731402978,78.62917299295295,366.2124299078275,3063,52,22,30,BTCUSDT,2UAZBZ8C,123.44356003028851
I3T8IOLO,highhigh,168.9412152058555,83.25693507905474,2578.791040408092,2542,60,20,40,BTCUSDT,3GVMADWF,84.47060760292776
29W462D1,highhigh,170.4084454567987,127.38714469985129,635.2447947865202,5390,551,221,330,BTCUSDT,LX660HN1,114.12201953318943
AHHHN9EV,highhigh,170.4084454567987,127.38714469985129,635.2447947865202,5390,551,221,330,BTCUSDT,5XYSU65B,114.12201953318943
4EVBHYLO,highhigh,171.55795870932664,82.7027348701817,1801.9173477744046,4632,80,27,53,BTCUSDT,7FD1KTYM,87.39745066324187
HHQGQH0E,highhigh,172.5258273020207,132.36883372033066,409.4225179738243,5560,626,238,388,BTCUSDT,B9KA9MF6,105.82769819041476
JBSL2PIZ,highhigh,172.5258273020207,132.36883372033066,409.4225179738243,5560,626,238,388,BTCUSDT,0S9O4NJN,105.82769819041476
0TU2GVMQ,highhigh,172.5258273020207,132.36883372033066,409.4225179738243,5560,626,238,388,BTCUSDT,4Z3T3ZRS,105.82769819041476
X2PQD1HW,highhigh,173.07582741759705,82.07023327474334,2847.356683874413,4506,80,28,52,BTCUSDT,W92SZJCA,93.19467630178302
ZZTVU5MM,highhigh,179.239099167985,77.40361540419613,1679.4052348231205,3529,65,26,39,BTCUSDT,QNS4M3GW,119.49273277865667
SBR9QEUW,highhigh,179.74745386067383,80.78745600046773,874.4121296496521,4039,61,21,40,BTCUSDT,MS97PRHR,94.36741327685375
XCLL16RK,highhigh,183.78599596486237,95.03207094116982,1343.7648518845901,4553,82,28,54,BTCUSDT,RKM0NB24,95.29644235215085
T14BHTB2,highhigh,187.49631776714818,86.8100524938081,582.4092962510526,4179,68,22,46,BTCUSDT,4SQ4AEHB,89.67215197559263
99AE38KL,highhigh,196.0025400735,104.72940591575534,2633.9971326327245,3059,76,27,49,BTCUSDT,4VOTRZJ7,108.00139963233674
7C0QXOBE,highhigh,204.34727786200185,98.45451601270823,2636.280554385303,4467,81,30,51,BTCUSDT,K8XR8UEW,120.20428109529522
805IZTWQ,highhigh,220.91945483712752,107.05157335634698,2403.1781316286474,4565,79,28,51,BTCUSDT,00CQ1TOZ,121.28911245959942
YDQGHUIC,highhigh,279.46565021324676,172.03381565168098,1426.603706931178,5733,867,318,548,BTCUSDT,JISMEL68,162.17167293396435
VOFBGFSY,highhigh,287.3686691156496,169.84582532495247,404.5036863080502,4801,499,207,292,BTCUSDT,SMJN8CA6,203.71683050321735
05V57QOC,highlow,2567.8492878646766,399.84782814911773,1834.107048036729,4118,109,47,62,BTCUSDT,8DS6ZBE3,1946.5954278974161
Y02YHHLA,highlow,2581.9278138546583,402.4989541425391,37.962968440085525,4772,277,110,167,BTCUSDT,KODOX9RH,1700.671015113847
X3CMV3YE,highlow,2598.641164819386,408.1594998884202,322.08030160263615,4470,147,59,88,BTCUSDT,K8W48R5G,1742.2707809584522
NGLS54ZP,highlow,2610.949310251207,401.9709093104654,339.374352037269,3649,125,51,74,BTCUSDT,QRDIJI3A,1799.4380381461021
2CAXWDLE,highlow,2626.7579321330027,410.3171949243618,398.672092276875,4783,382,143,239,BTCUSDT,CZHJZLZT,1571.6585116946417
FZUCHU70,highlow,2628.521211923203,411.93459966151306,96.63959175502299,4845,249,96,153,BTCUSDT,UUH0WZCI,1649.268211402794
5EN50627,highlow,2650.2259992993895,410.58165404836046,21.83844214173977,4498,187,74,113,BTCUSDT,CFCQHGG5,1735.5462296296887
UA7OJ6XS,highlow,2670.149263788709,405.9506479998542,58.28997879943141,4591,222,81,141,BTCUSDT,8ZOISLQS,1533.9155345169181
CYDZAKD7,highlow,2689.8825142639475,408.40443756541515,41.57685845978565,4992,269,101,168,BTCUSDT,4CYNZZ4E,1617.131749646778
L2K1RRFJ,highlow,2700.2556357895073,396.8354721843999,822.3282441225538,4922,270,113,157,BTCUSDT,XZC1UW5L,1943.496094549136
NFO5IZO5,highlow,2706.6637488698602,405.3206582260009,753.2464050936045,4857,267,115,152,BTCUSDT,E5U1F318,2047.8048100002231
BLHKVZRJ,highlow,2708.3110556469223,397.34204844214116,762.62747674929,4924,264,110,154,BTCUSDT,9ZYTM7QT,1934.507896890659
2AIEQVAD,highlow,2734.529055911693,404.33229618807667,62.88179373391599,4770,240,94,146,BTCUSDT,GXAKICYS,1760.587200381501
W0XXUSBA,highlow,2764.9102422190517,407.4698564528181,132.60139322782118,4369,135,56,79,BTCUSDT,A2JPB1ZC,1959.9363742312266
8GXL9MNK,highlow,2768.459247872346,412.33562935342644,141.7961473017276,4460,148,55,93,BTCUSDT,5TAHECI4,1637.2608455159036
2GVKLQOU,highlow,2768.4721331024643,416.86289282120515,65.76428402813038,4916,190,70,120,BTCUSDT,Z1P14D65,1614.942077643104
SQKUWGB4,highlow,2768.4721331024643,416.86289282120515,65.76428402813038,4916,190,70,120,BTCUSDT,G945D8LE,1614.942077643104
A75ZG9VO,highlow,2776.0941944144333,406.79882318814276,798.9262982976057,3897,116,50,66,BTCUSDT,JDATN9D3,2103.101662435177
VS6WD23N,highlow,2802.2388905551434,401.83716345863985,2730.1312078548203,4086,104,46,58,BTCUSDT,VFLWJB9O,2222.4653269920104
0ABH17AE,highlow,2825.857522772181,405.6622258626794,141.52319811395154,4177,149,68,81,BTCUSDT,1XK4XCNQ,2372.3248339322013
ODOS63O4,highlow,2891.16737001065,416.4029495773584,183.86948414510425,4475,154,57,97,BTCUSDT,GKEU622X,1698.9334029959489
QE0XGMFQ,highlow,2893.9904494999337,419.41265576722,248.0440221944838,4515,148,61,87,BTCUSDT,MB8G8ZS6,2029.1197404539766
UYJ34UFG,highlow,2905.429848628588,384.926479356676,398.94299906190525,4773,122,59,63,BTCUSDT,EUENAP73,2720.958112207725
7ZB34DTV,highlow,3003.6450210254175,420.58470676802915,102.89578011445492,4894,266,103,163,BTCUSDT,2DK2BWKY,1898.0088169669816
WPRFBH7K,highlow,3117.88605445154,410.3294341530973,537.9772996598772,4407,315,133,182,BTCUSDT,4XBF40UZ,2278.455193637664
CB61SJ3L,highlow,3117.88605445154,410.3294341530973,537.9772996598772,4407,315,133,182,BTCUSDT,VSQ39SPV,2278.455193637664
NZE1813E,highlow,3136.802764905524,412.8727143511313,989.2468982417697,4089,105,48,57,BTCUSDT,K1EPNYPP,2641.518117815178
V0I7S3PQ,highlow,3142.0526852439643,418.7420374761014,202.0167236721792,4585,136,57,79,BTCUSDT,TN53BQPB,2267.0506716317213
2VSP2UWF,highlow,3319.595451412183,424.5439629576767,8479.61472478413,3988,87,38,49,BTCUSDT,I2I3NU8T,2574.380145993122
9IQPIYLZ,highlow,3330.6543368155226,427.3833044380577,943.7542780537229,4096,120,52,68,BTCUSDT,PSAORMJ1,2546.970963447164
A8V8FATS,highlow,3474.376474040686,419.47313476919993,584.5199751121753,3808,267,112,155,BTCUSDT,SJZE9SGC,2510.5171941455283
SM1Q3G8Z,highlow,3474.376474040686,419.47313476919993,584.5199751121753,3808,267,112,155,BTCUSDT,OLL8AXW4,2510.5171941455283
PDZGZRYD,highlow,3482.1531209550385,425.05439012352684,678.4057106451024,4038,108,50,58,BTCUSDT,AFB59H9H,3001.8561387543436
8ILLZ2LG,highlow,3503.940401260388,438.46107283637093,101.0629996275989,5021,248,94,154,BTCUSDT,P6Y51W44,2138.768816353743
E4DEVMV8,highlow,3738.923157381147,430.51706800934807,881.4890228596216,4270,105,50,55,BTCUSDT,NW82TQHS,3399.021052164679
3REDAW2K,highlow,3905.6849401297445,456.92281124717204,53.78486181548937,4720,240,94,146,BTCUSDT,9X10LQ9M,2514.6190710424385
EX65VXF3,highlow,4063.7924477297433,447.4146402744403,974.5762273949397,4208,124,55,69,BTCUSDT,8F4QPGPU,3239.2548496396503
Q8MJ3B7G,highlow,4304.9649063746865,457.0226494074686,53.09708470694139,4545,209,87,122,BTCUSDT,TYKXD4N7,3069.9339906114565
AMQBIPLF,highlow,4304.9649063746865,457.0226494074686,53.09708470694139,4545,209,87,122,BTCUSDT,TFVWV5PO,3069.9339906114565
2L45XDDE,highlow,4908.867267232401,468.45899804135513,1398.4494636186198,4184,122,55,67,BTCUSDT,SZNN0LSA,4029.6671596683886
